,enzyme_name,mole_name,reac_value,in_mvec
651,BSU21690,trdrd_c,-1.0,False
675,BSU21920,12dgr_BS_c,-0.01,False
676,BSU21920,m12dg_BS_c,0.01,False
678,BSU21920,12dgr_BS_c,-0.01,False
679,BSU21920,t12dg_BS_c,0.01,False
681,BSU21920,12dgr_BS_c,-0.01,False
682,BSU21920,d12dg_BS_c,0.01,False
855,BSU25310,12dag3p_BS_c,0.01,False
856,BSU25310,12dgr_BS_c,-0.01,False
868,BSU25790,antim_c,-1.0,False
869,BSU25790,antim_e,1.0,False
946,BSU28170,glutrna_c,-1.0,False
947,BSU28170,trnaglu_c,1.0,False
957,BSU28510,14bxyl_c,-1.0,False
1055,BSU30940,glycogen_c,-1.0,False
1057,BSU30950,glycogen_c,1.0,False
1058,BSU30980,14glun_c,-1.0,False
1059,BSU30980,glycogen_c,1.0,False
1130,BSU32830,ddcoa_c,-1.0,False
1200,BSU34560,dextrin_c,-1.0,False
1345,BSU37710,gly_tyr__L_c,1.0,False
1362,BSU37710,ser_L_trp__L_c,1.0,False
